threshold,pr_auc,roc_auc,precision,recall,f1,tn,fp,fn,tp
0.05,0.35524763647008467,0.8752961777710938,0.16549944710652414,0.6731634182908546,0.26568047337278106,19190,2264,218,449
0.06,0.35524763647008467,0.8752961777710938,0.191793893129771,0.6026986506746627,0.2909880564603692,19760,1694,265,402
0.07,0.35524763647008467,0.8752961777710938,0.191793893129771,0.6026986506746627,0.2909880564603692,19760,1694,265,402
0.08,0.35524763647008467,0.8752961777710938,0.2483120780195049,0.4962518740629685,0.331,20452,1002,336,331
0.09,0.35524763647008467,0.8752961777710938,0.27467811158798283,0.47976011994003,0.34934497816593885,20609,845,347,320
0.1,0.35524763647008467,0.8752961777710938,0.27467811158798283,0.47976011994003,0.34934497816593885,20609,845,347,320
0.11,0.35524763647008467,0.8752961777710938,0.27467811158798283,0.47976011994003,0.34934497816593885,20609,845,347,320
0.12,0.35524763647008467,0.8752961777710938,0.27467811158798283,0.47976011994003,0.34934497816593885,20609,845,347,320
0.13,0.35524763647008467,0.8752961777710938,0.3367579908675799,0.44227886056971516,0.38237200259235254,20873,581,372,295
0.14,0.35524763647008467,0.8752961777710938,0.3367579908675799,0.44227886056971516,0.38237200259235254,20873,581,372,295
0.15,0.35524763647008467,0.8752961777710938,0.3367579908675799,0.44227886056971516,0.38237200259235254,20873,581,372,295
0.16,0.35524763647008467,0.8752961777710938,0.33714285714285713,0.44227886056971516,0.38261997405966275,20874,580,372,295
0.17,0.35524763647008467,0.8752961777710938,0.3718791064388962,0.424287856071964,0.3963585434173669,20976,478,384,283
0.18,0.35524763647008467,0.8752961777710938,0.3718791064388962,0.424287856071964,0.3963585434173669,20976,478,384,283
0.19,0.35524763647008467,0.8752961777710938,0.3718791064388962,0.424287856071964,0.3963585434173669,20976,478,384,283
0.2,0.35524763647008467,0.8752961777710938,0.3718791064388962,0.424287856071964,0.3963585434173669,20976,478,384,283
0.21,0.35524763647008467,0.8752961777710938,0.37383177570093457,0.4197901049475262,0.3954802259887006,20985,469,387,280
0.22,0.35524763647008467,0.8752961777710938,0.37383177570093457,0.4197901049475262,0.3954802259887006,20985,469,387,280
0.23,0.35524763647008467,0.8752961777710938,0.37383177570093457,0.4197901049475262,0.3954802259887006,20985,469,387,280
0.24,0.35524763647008467,0.8752961777710938,0.37383177570093457,0.4197901049475262,0.3954802259887006,20985,469,387,280
0.25,0.35524763647008467,0.8752961777710938,0.37383177570093457,0.4197901049475262,0.3954802259887006,20985,469,387,280
0.26,0.35524763647008467,0.8752961777710938,0.37383177570093457,0.4197901049475262,0.3954802259887006,20985,469,387,280
0.27,0.35524763647008467,0.8752961777710938,0.37383177570093457,0.4197901049475262,0.3954802259887006,20985,469,387,280
0.28,0.35524763647008467,0.8752961777710938,0.4088669950738916,0.3733133433283358,0.390282131661442,21094,360,418,249
0.29,0.35524763647008467,0.8752961777710938,0.4088669950738916,0.3733133433283358,0.390282131661442,21094,360,418,249
0.3,0.35524763647008467,0.8752961777710938,0.4088669950738916,0.3733133433283358,0.390282131661442,21094,360,418,249
0.31,0.35524763647008467,0.8752961777710938,0.4088669950738916,0.3733133433283358,0.390282131661442,21094,360,418,249
0.32,0.35524763647008467,0.8752961777710938,0.4095394736842105,0.3733133433283358,0.3905882352941176,21095,359,418,249
0.33,0.35524763647008467,0.8752961777710938,0.4095394736842105,0.3733133433283358,0.3905882352941176,21095,359,418,249
