threshold,pr_auc,roc_auc,precision,recall,f1,tn,fp,fn,tp
0.05,0.35571598393815174,0.8763612605894485,0.16543846720707442,0.6741741741741741,0.26568047337278106,19191,2265,217,449
0.06,0.35571598393815174,0.8763612605894485,0.1917024320457797,0.6036036036036037,0.2909880564603692,19761,1695,264,402
0.07,0.35571598393815174,0.8763612605894485,0.1917024320457797,0.6036036036036037,0.2909880564603692,19761,1695,264,402
0.08,0.35571598393815174,0.8763612605894485,0.2483120780195049,0.496996996996997,0.3311655827913957,20454,1002,335,331
0.09,0.35571598393815174,0.8763612605894485,0.27467811158798283,0.4804804804804805,0.3495357728017477,20611,845,346,320
0.1,0.35571598393815174,0.8763612605894485,0.27467811158798283,0.4804804804804805,0.3495357728017477,20611,845,346,320
0.11,0.35571598393815174,0.8763612605894485,0.27467811158798283,0.4804804804804805,0.3495357728017477,20611,845,346,320
0.12,0.35571598393815174,0.8763612605894485,0.27467811158798283,0.4804804804804805,0.3495357728017477,20611,845,346,320
0.13,0.35571598393815174,0.8763612605894485,0.3367579908675799,0.44294294294294295,0.38261997405966275,20875,581,371,295
0.14,0.35571598393815174,0.8763612605894485,0.3367579908675799,0.44294294294294295,0.38261997405966275,20875,581,371,295
0.15,0.35571598393815174,0.8763612605894485,0.3367579908675799,0.44294294294294295,0.38261997405966275,20875,581,371,295
0.16,0.35571598393815174,0.8763612605894485,0.33714285714285713,0.44294294294294295,0.38286826735885787,20876,580,371,295
0.17,0.35571598393815174,0.8763612605894485,0.3718791064388962,0.42492492492492495,0.39663629992992294,20978,478,383,283
0.18,0.35571598393815174,0.8763612605894485,0.3718791064388962,0.42492492492492495,0.39663629992992294,20978,478,383,283
0.19,0.35571598393815174,0.8763612605894485,0.3718791064388962,0.42492492492492495,0.39663629992992294,20978,478,383,283
0.2,0.35571598393815174,0.8763612605894485,0.3718791064388962,0.42492492492492495,0.39663629992992294,20978,478,383,283
0.21,0.35571598393815174,0.8763612605894485,0.37383177570093457,0.42042042042042044,0.3957597173144876,20987,469,386,280
0.22,0.35571598393815174,0.8763612605894485,0.37383177570093457,0.42042042042042044,0.3957597173144876,20987,469,386,280
0.23,0.35571598393815174,0.8763612605894485,0.37383177570093457,0.42042042042042044,0.3957597173144876,20987,469,386,280
0.24,0.35571598393815174,0.8763612605894485,0.37383177570093457,0.42042042042042044,0.3957597173144876,20987,469,386,280
0.25,0.35571598393815174,0.8763612605894485,0.37383177570093457,0.42042042042042044,0.3957597173144876,20987,469,386,280
0.26,0.35571598393815174,0.8763612605894485,0.37383177570093457,0.42042042042042044,0.3957597173144876,20987,469,386,280
0.27,0.35571598393815174,0.8763612605894485,0.37383177570093457,0.42042042042042044,0.3957597173144876,20987,469,386,280
0.28,0.35571598393815174,0.8763612605894485,0.4088669950738916,0.3738738738738739,0.3905882352941176,21096,360,417,249
0.29,0.35571598393815174,0.8763612605894485,0.4088669950738916,0.3738738738738739,0.3905882352941176,21096,360,417,249
0.3,0.35571598393815174,0.8763612605894485,0.4088669950738916,0.3738738738738739,0.3905882352941176,21096,360,417,249
0.31,0.35571598393815174,0.8763612605894485,0.4088669950738916,0.3738738738738739,0.3905882352941176,21096,360,417,249
0.32,0.35571598393815174,0.8763612605894485,0.4095394736842105,0.3738738738738739,0.39089481946624804,21097,359,417,249
0.33,0.35571598393815174,0.8763612605894485,0.4095394736842105,0.3738738738738739,0.39089481946624804,21097,359,417,249
0.34,0.35571598393815174,0.8763612605894485,0.4095394736842105,0.3738738738738739,0.39089481946624804,21097,359,417,249
0.35,0.35571598393815174,0.8763612605894485,0.4095394736842105,0.3738738738738739,0.39089481946624804,21097,359,417,249
0.36,0.35571598393815174,0.8763612605894485,0.4095394736842105,0.3738738738738739,0.39089481946624804,21097,359,417,249
0.37,0.35571598393815174,0.8763612605894485,0.4102141680395387,0.3738738738738739,0.39120188531029065,21098,358,417,249
