threshold,pr_auc,roc_auc,precision,recall,f1,tn,fp,fn,tp
0.05,0.35672142465246426,0.867855097807673,0.15217391304347827,0.6611694152923538,0.2474053295932679,18997,2457,226,441
0.06,0.35672142465246426,0.867855097807673,0.1748917748917749,0.6056971514242878,0.27141417534430634,19548,1906,263,404
0.07,0.35672142465246426,0.867855097807673,0.17516339869281045,0.6026986506746627,0.2714382174206617,19561,1893,265,402
0.08,0.35672142465246426,0.867855097807673,0.18096577590248478,0.5787106446776612,0.2757142857142857,19707,1747,281,386
0.09,0.35672142465246426,0.867855097807673,0.21445929526123936,0.5292353823088456,0.3052313013402508,20161,1293,314,353
0.1,0.35672142465246426,0.867855097807673,0.2622549019607843,0.48125937031484256,0.33950290851401377,20551,903,346,321
0.11,0.35672142465246426,0.867855097807673,0.2624693376941946,0.48125937031484256,0.3396825396825397,20552,902,346,321
0.12,0.35672142465246426,0.867855097807673,0.3206933911159263,0.44377811094452774,0.3723270440251572,20827,627,371,296
0.13,0.35672142465246426,0.867855097807673,0.3206933911159263,0.44377811094452774,0.3723270440251572,20827,627,371,296
0.14,0.35672142465246426,0.867855097807673,0.3210412147505423,0.44377811094452774,0.37256135934550033,20828,626,371,296
0.15,0.35672142465246426,0.867855097807673,0.3210412147505423,0.44377811094452774,0.37256135934550033,20828,626,371,296
0.16,0.35672142465246426,0.867855097807673,0.3333333333333333,0.4332833583208396,0.3767926988265971,20876,578,378,289
0.17,0.35672142465246426,0.867855097807673,0.34474327628361856,0.42278860569715143,0.3797979797979798,20918,536,385,282
0.18,0.35672142465246426,0.867855097807673,0.34474327628361856,0.42278860569715143,0.3797979797979798,20918,536,385,282
0.19,0.35672142465246426,0.867855097807673,0.34474327628361856,0.42278860569715143,0.3797979797979798,20918,536,385,282
0.2,0.35672142465246426,0.867855097807673,0.34474327628361856,0.42278860569715143,0.3797979797979798,20918,536,385,282
0.21,0.35672142465246426,0.867855097807673,0.34474327628361856,0.42278860569715143,0.3797979797979798,20918,536,385,282
0.22,0.35672142465246426,0.867855097807673,0.34516523867809057,0.42278860569715143,0.38005390835579517,20919,535,385,282
0.23,0.35672142465246426,0.867855097807673,0.34516523867809057,0.42278860569715143,0.38005390835579517,20919,535,385,282
0.24,0.35672142465246426,0.867855097807673,0.34516523867809057,0.42278860569715143,0.38005390835579517,20919,535,385,282
0.25,0.35672142465246426,0.867855097807673,0.34516523867809057,0.42278860569715143,0.38005390835579517,20919,535,385,282
0.26,0.35672142465246426,0.867855097807673,0.34558823529411764,0.42278860569715143,0.380310182063385,20920,534,385,282
0.27,0.35672142465246426,0.867855097807673,0.37359550561797755,0.3988005997001499,0.38578680203045684,21008,446,401,266
0.28,0.35672142465246426,0.867855097807673,0.37359550561797755,0.3988005997001499,0.38578680203045684,21008,446,401,266
0.29,0.35672142465246426,0.867855097807673,0.37359550561797755,0.3988005997001499,0.38578680203045684,21008,446,401,266
0.3,0.35672142465246426,0.867855097807673,0.39097744360902253,0.38980509745127434,0.39039039039039036,21049,405,407,260
0.31,0.35672142465246426,0.867855097807673,0.39156626506024095,0.38980509745127434,0.39068369646882045,21050,404,407,260
0.32,0.35672142465246426,0.867855097807673,0.39156626506024095,0.38980509745127434,0.39068369646882045,21050,404,407,260
0.33,0.35672142465246426,0.867855097807673,0.39156626506024095,0.38980509745127434,0.39068369646882045,21050,404,407,260
0.34,0.35672142465246426,0.867855097807673,0.4613861386138614,0.3493253373313343,0.39761092150170646,21182,272,434,233
0.35,0.35672142465246426,0.867855097807673,0.4613861386138614,0.3493253373313343,0.39761092150170646,21182,272,434,233
0.36,0.35672142465246426,0.867855097807673,0.502262443438914,0.3328335832083958,0.4003606853020739,21234,220,445,222
0.37,0.35672142465246426,0.867855097807673,0.502262443438914,0.3328335832083958,0.4003606853020739,21234,220,445,222
0.38,0.35672142465246426,0.867855097807673,0.502262443438914,0.3328335832083958,0.4003606853020739,21234,220,445,222
0.39,0.35672142465246426,0.867855097807673,0.502262443438914,0.3328335832083958,0.4003606853020739,21234,220,445,222
0.4,0.35672142465246426,0.867855097807673,0.502262443438914,0.3328335832083958,0.4003606853020739,21234,220,445,222
0.41,0.35672142465246426,0.867855097807673,0.502262443438914,0.3328335832083958,0.4003606853020739,21234,220,445,222
0.42,0.35672142465246426,0.867855097807673,0.5637982195845698,0.2848575712143928,0.3784860557768924,21307,147,477,190
0.43,0.35672142465246426,0.867855097807673,0.5718654434250765,0.280359820089955,0.3762575452716298,21314,140,480,187
0.44,0.35672142465246426,0.867855097807673,0.5718654434250765,0.280359820089955,0.3762575452716298,21314,140,480,187
0.45,0.35672142465246426,0.867855097807673,0.5718654434250765,0.280359820089955,0.3762575452716298,21314,140,480,187
0.46,0.35672142465246426,0.867855097807673,0.5718654434250765,0.280359820089955,0.3762575452716298,21314,140,480,187
0.47,0.35672142465246426,0.867855097807673,0.6366906474820144,0.2653673163418291,0.3746031746031746,21353,101,490,177
0.48,0.35672142465246426,0.867855097807673,0.6366906474820144,0.2653673163418291,0.3746031746031746,21353,101,490,177
0.49,0.35672142465246426,0.867855097807673,0.6366906474820144,0.2653673163418291,0.3746031746031746,21353,101,490,177
0.5,0.35672142465246426,0.867855097807673,0.6366906474820144,0.2653673163418291,0.3746031746031746,21353,101,490,177
0.51,0.35672142465246426,0.867855097807673,0.6353790613718412,0.2638680659670165,0.3728813559322034,21353,101,491,176
0.52,0.35672142465246426,0.867855097807673,0.6353790613718412,0.2638680659670165,0.3728813559322034,21353,101,491,176
0.53,0.35672142465246426,0.867855097807673,0.6353790613718412,0.2638680659670165,0.3728813559322034,21353,101,491,176
0.54,0.35672142465246426,0.867855097807673,0.6353790613718412,0.2638680659670165,0.3728813559322034,21353,101,491,176
0.55,0.35672142465246426,0.867855097807673,0.6353790613718412,0.2638680659670165,0.3728813559322034,21353,101,491,176
0.56,0.35672142465246426,0.867855097807673,0.6376811594202898,0.2638680659670165,0.37327677624602335,21354,100,491,176
0.57,0.35672142465246426,0.867855097807673,0.64,0.2638680659670165,0.37367303609341823,21355,99,491,176
0.58,0.35672142465246426,0.867855097807673,0.6410256410256411,0.2623688155922039,0.3723404255319149,21356,98,492,175
0.59,0.35672142465246426,0.867855097807673,0.6410256410256411,0.2623688155922039,0.3723404255319149,21356,98,492,175
0.6,0.35672142465246426,0.867855097807673,0.6410256410256411,0.2623688155922039,0.3723404255319149,21356,98,492,175
0.61,0.35672142465246426,0.867855097807673,0.6410256410256411,0.2623688155922039,0.3723404255319149,21356,98,492,175
0.62,0.35672142465246426,0.867855097807673,0.6410256410256411,0.2623688155922039,0.3723404255319149,21356,98,492,175
0.63,0.35672142465246426,0.867855097807673,0.6681222707423581,0.22938530734632684,0.34151785714285715,21378,76,514,153
0.64,0.35672142465246426,0.867855097807673,0.6681222707423581,0.22938530734632684,0.34151785714285715,21378,76,514,153
0.65,0.35672142465246426,0.867855097807673,0.6681222707423581,0.22938530734632684,0.34151785714285715,21378,76,514,153
0.66,0.35672142465246426,0.867855097807673,0.6681222707423581,0.22938530734632684,0.34151785714285715,21378,76,514,153
0.67,0.35672142465246426,0.867855097807673,0.6681222707423581,0.22938530734632684,0.34151785714285715,21378,76,514,153
0.68,0.35672142465246426,0.867855097807673,0.6681222707423581,0.22938530734632684,0.34151785714285715,21378,76,514,153
0.69,0.35672142465246426,0.867855097807673,0.6681222707423581,0.22938530734632684,0.34151785714285715,21378,76,514,153
0.7,0.35672142465246426,0.867855097807673,0.6681222707423581,0.22938530734632684,0.34151785714285715,21378,76,514,153
0.71,0.35672142465246426,0.867855097807673,0.7985611510791367,0.1664167916041979,0.27543424317617865,21426,28,556,111
0.72,0.35672142465246426,0.867855097807673,0.7985611510791367,0.1664167916041979,0.27543424317617865,21426,28,556,111
